"GEO_ID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer"
"1400000US41059950900","Census Tract 9509, Umatilla County, Oregon","1605","156","1401","149","0","12","1211","166","190","92","204","89"
"1400000US41059950200","Census Tract 9502, Umatilla County, Oregon","2636","237","2229","241","19","32","1882","207","328","148","407","158"
"1400000US41059951400","Census Tract 9514, Umatilla County, Oregon","919","91","759","90","0","12","650","88","109","49","160","52"
"1400000US41059950300","Census Tract 9503, Umatilla County, Oregon","1118","91","1003","91","12","13","881","92","110","58","115","49"
"1400000US41059950400","Census Tract 9504, Umatilla County, Oregon","1725","121","1643","125","0","17","1473","142","170","108","82","60"
"1400000US41047002000","Census Tract 20, Marion County, Oregon","4305","148","4040","186","0","19","3800","205","240","95","265","131"
"1400000US41047001603","Census Tract 16.03, Marion County, Oregon","2297","127","2129","135","0","17","2071","139","58","42","168","97"
"1400000US41047001604","Census Tract 16.04, Marion County, Oregon","2842","207","2509","224","0","17","2250","234","259","146","333","148"
"1400000US41047001701","Census Tract 17.01, Marion County, Oregon","2430","157","1925","234","0","17","1630","203","295","152","505","183"
"1400000US41047001703","Census Tract 17.03, Marion County, Oregon","1522","92","1323","110","19","29","1233","110","71","42","199","66"
"1400000US41047002400","Census Tract 24, Marion County, Oregon","1491","76","1441","74","8","12","1380","85","53","48","50","43"
"1400000US41047010304","Census Tract 103.04, Marion County, Oregon","1684","118","1512","129","0","17","1162","166","350","150","172","107"
"1400000US41047010400","Census Tract 104, Marion County, Oregon","1694","162","1364","179","63","51","1133","166","168","90","330","111"
"1400000US41047010305","Census Tract 103.05, Marion County, Oregon","1235","88","1141","100","0","12","951","109","190","85","94","60"
"1400000US41047001803","Census Tract 18.03, Marion County, Oregon","1115","76","907","102","0","12","799","110","108","63","208","83"
"1400000US41047002600","Census Tract 26, Marion County, Oregon","680","59","600","72","0","12","553","71","47","37","80","50"
"1400000US41047002700","Census Tract 27, Marion County, Oregon","3265","190","3056","180","15","22","2797","203","244","124","209","97"
"1400000US41047010501","Census Tract 105.01, Marion County, Oregon","2122","148","1999","170","12","19","1680","195","307","154","123","74"
"1400000US41047000400","Census Tract 4, Marion County, Oregon","1759","106","1513","106","0","17","1356","122","157","60","246","88"
"1400000US41047001000","Census Tract 10, Marion County, Oregon","1556","113","1445","121","6","10","1295","130","144","96","111","59"
"1400000US41047001100","Census Tract 11, Marion County, Oregon","2049","98","1817","122","10","15","1601","136","206","83","232","90"
"1400000US41047010303","Census Tract 103.03, Marion County, Oregon","1273","87","1136","84","0","12","1021","90","115","48","137","47"
"1400000US41047010502","Census Tract 105.02, Marion County, Oregon","2488","207","2359","206","28","32","2159","238","172","95","129","96"
"1400000US41047001702","Census Tract 17.02, Marion County, Oregon","1718","115","1442","132","23","26","1257","140","162","92","276","104"
"1400000US41047000600","Census Tract 6, Marion County, Oregon","1920","205","1739","214","0","12","1549","214","190","101","181","108"
"1400000US41047000200","Census Tract 2, Marion County, Oregon","1292","85","1198","99","7","11","1079","102","112","58","94","61"
"1400000US41047000300","Census Tract 3, Marion County, Oregon","1943","110","1716","141","18","20","1476","149","222","88","227","99"
"1400000US41047001200","Census Tract 12, Marion County, Oregon","1664","115","1548","121","41","38","1389","121","118","54","116","54"
"1400000US41047000900","Census Tract 9, Marion County, Oregon","2210","171","1968","201","7","22","1867","215","94","89","242","137"
"1400000US41047001502","Census Tract 15.02, Marion County, Oregon","1764","95","1654","104","0","17","1583","114","71","44","110","67"
"1400000US41047002800","Census Tract 28, Marion County, Oregon","1519","121","1452","127","0","12","1383","132","69","61","67","38"
"1400000US41047010100","Census Tract 101, Marion County, Oregon","471","44","419","40","10","9","376","39","33","19","52","22"
"1400000US41047010600","Census Tract 106, Marion County, Oregon","1020","97","879","89","12","13","779","90","88","48","141","50"
"1400000US41047001300","Census Tract 13, Marion County, Oregon","1935","109","1902","110","0","12","1791","130","111","72","33","27"
"1400000US41047001501","Census Tract 15.01, Marion County, Oregon","1805","102","1635","108","9","15","1559","95","67","50","170","66"
"1400000US41059950600","Census Tract 9506, Umatilla County, Oregon","2343","215","1960","211","13","22","1720","209","227","108","383","147"
"1400000US41059950800","Census Tract 9508, Umatilla County, Oregon","2086","194","1860","214","0","17","1601","224","259","147","226","128"
"1400000US41059951000","Census Tract 9510, Umatilla County, Oregon","2388","153","1970","229","0","17","1866","226","104","78","418","197"
"1400000US41059951300","Census Tract 9513, Umatilla County, Oregon","1420","89","1283","88","3","5","1128","87","152","50","137","45"
"1400000US41059950100","Census Tract 9501, Umatilla County, Oregon","1647","122","1380","132","16","19","1207","117","157","64","267","91"
"1400000US41059951100","Census Tract 9511, Umatilla County, Oregon","2064","162","1824","170","13","21","1536","197","275","151","240","136"
"1400000US41059951200","Census Tract 9512, Umatilla County, Oregon","3157","185","2867","235","12","19","2632","219","223","89","290","136"
"1400000US41047001602","Census Tract 16.02, Marion County, Oregon","3454","225","3023","270","21","37","2819","292","183","143","431","177"
"1400000US41047001802","Census Tract 18.02, Marion County, Oregon","2507","144","2404","144","0","17","2239","181","165","101","103","91"
"1400000US41047002301","Census Tract 23.01, Marion County, Oregon","1250","85","1224","84","0","12","1199","89","25","22","26","22"
"1400000US41051003100","Census Tract 31, Multnomah County, Oregon","1909","98","1806","103","8","14","1735","97","63","40","103","45"
"1400000US41051004602","Census Tract 46.02, Multnomah County, Oregon","885","59","885","59","0","12","868","59","17","14","0","12"
"1400000US41051006900","Census Tract 69, Multnomah County, Oregon","1149","78","1116","80","9","14","1107","81","0","12","33","26"
"1400000US41051003000","Census Tract 30, Multnomah County, Oregon","1925","110","1864","117","0","12","1833","118","31","33","61","45"
"1400000US41051008301","Census Tract 83.01, Multnomah County, Oregon","1657","96","1346","115","0","12","1204","134","142","75","311","91"
"1400000US41051010001","Census Tract 100.01, Multnomah County, Oregon","2475","115","2170","148","0","17","1961","158","209","112","305","113"
"1400000US41051000401","Census Tract 4.01, Multnomah County, Oregon","1496","51","1399","70","8","12","1278","84","113","57","97","55"
"1400000US41051004101","Census Tract 41.01, Multnomah County, Oregon","2881","102","2593","164","13","21","2471","166","109","67","288","146"
"1400000US41053005300","Census Tract 53, Polk County, Oregon","3670","165","3465","193","0","19","3247","184","218","129","205","119"
"1400000US41053020202","Census Tract 202.02, Polk County, Oregon","2761","147","2515","156","15","25","2293","171","207","117","246","98"
"1400000US41053005201","Census Tract 52.01, Polk County, Oregon","3455","213","3223","240","0","17","2987","198","236","122","232","129"
"1400000US41053020204","Census Tract 202.04, Polk County, Oregon","1833","101","1689","109","0","17","1572","123","117","76","144","69"
"1400000US41053005100","Census Tract 51, Polk County, Oregon","882","85","797","94","0","12","684","90","113","64","85","46"
"1400000US41053020203","Census Tract 202.03, Polk County, Oregon","1082","93","1000","89","15","17","932","93","53","45","82","52"
"1400000US41053020302","Census Tract 203.02, Polk County, Oregon","3359","209","3149","216","15","23","2886","234","248","113","210","102"
