"GEO_ID","id",
"S2802_C04_020E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Employed",
"S2802_C04_020M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Employed",
"S2802_C04_021E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed",
"S2802_C04_021M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed",
"S2802_C04_022E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!Not in labor force",
"S2802_C04_022M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!Not in labor force",
"S2802_C05_001E","Estimate!!With a computer!!Percent without an Internet Subscription!!Total population in households",
"S2802_C05_001M","Margin of Error!!With a computer!!Percent without an Internet Subscription MOE!!Total population in households",
"S2802_C05_002E","Estimate!!With a computer!!Percent without an Internet Subscription!!Total population in households!!AGE!!Under 18 years",
"S2802_C05_002M","Margin of Error!!With a computer!!Percent without an Internet Subscription MOE!!Total population in households!!AGE!!Under 18 years",
"S2802_C05_003E","Estimate!!With a computer!!Percent without an Internet Subscription!!Total population in households!!AGE!!18 to 64 years",
"S2802_C05_003M","Margin of Error!!With a computer!!Percent without an Internet Subscription MOE!!Total population in households!!AGE!!18 to 64 years",
"S2802_C05_004E","Estimate!!With a computer!!Percent without an Internet Subscription!!Total population in households!!AGE!!65 years and over",
"S2802_C05_004M","Margin of Error!!With a computer!!Percent without an Internet Subscription MOE!!Total population in households!!AGE!!65 years and over",
"S2802_C05_005E","Estimate!!With a computer!!Percent without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C05_005M","Margin of Error!!With a computer!!Percent without an Internet Subscription MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C05_006E","Estimate!!With a computer!!Percent without an Internet Subscription!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
